-28.784000,-17.896400,0.613539
-28.781799,-17.896999,0.621559
-28.785200,-17.894600,0.129929
-28.779699,-17.897699,0.629279
-28.783001,-17.892700,0.471739
-28.785900,-17.899799,0.467599
-28.782499,-17.891701,0.957359
-28.778999,-17.892799,0.498539
-28.780899,-17.902201,0.560379
-28.787500,-17.891399,0.801519
-28.778400,-17.901300,0.569849
-28.777500,-17.900400,0.712309
-28.781601,-17.903500,0.690829
-28.784201,-17.903799,0.510799
-28.790701,-17.894800,0.568224
-28.791000,-17.895800,0.111094
-28.789400,-17.891500,0.425009
-28.783400,-17.888399,0.494709
-28.785700,-17.904600,0.615089
-28.777100,-17.902300,0.589959
-28.774401,-17.896500,0.117969
-28.777000,-17.889700,0.791649
-28.788601,-17.904600,0.876509
-28.790199,-17.903299,0.808019
-28.778500,-17.905001,0.649349
-28.783400,-17.906300,0.498739
-28.776899,-17.888599,0.133299
-28.772800,-17.896200,0.661149
-28.776699,-17.888300,1.028490
-28.790400,-17.904699,0.612479
-28.782000,-17.907301,0.655985
-28.791401,-17.903999,0.689789
-28.772400,-17.899799,0.781369
-28.776400,-17.905701,0.669455
-28.788799,-17.906900,0.463499
-28.794500,-17.900499,0.479155
-28.775600,-17.887400,0.560769
-28.774000,-17.904301,0.558349
-28.792101,-17.887899,0.445825
-28.786501,-17.884600,0.669789
-28.774000,-17.888399,0.521679
-28.771999,-17.901899,0.662039
-28.790899,-17.886499,0.381964
-28.777000,-17.885599,0.690039
-28.794701,-17.889999,0.578444
-28.779100,-17.883301,0.662619
-28.794201,-17.887300,0.546945
-28.796600,-17.901800,0.565825
-28.769699,-17.901100,1.071190
-28.779400,-17.882401,0.752429
-28.797701,-17.899599,0.472125
-28.768999,-17.900999,0.669229
-28.771400,-17.887199,0.622089
-28.794901,-17.906300,0.104115
-28.784000,-17.881100,0.147259
-28.797501,-17.888901,0.761654
-28.767401,-17.893900,0.576219
-28.768499,-17.903000,0.375619
-28.767900,-17.890499,0.565989
-28.799101,-17.901400,0.115564
-28.792000,-17.882401,0.479264
-28.766899,-17.891701,0.119949
-28.796900,-17.886101,0.440654
-28.791201,-17.881300,0.745874
-28.770000,-17.885300,0.722479
-28.794901,-17.909500,0.920415
